movie_title,domestic_total_gross,runtime,budget,release_date,distributor,genre,actors,director,producers,rank_year,rank_history,number_theaters,close_date,imdb_rating,metascore_rating,rt_critics,rt_audience,video_sales
The Empire Strikes Back,209398025,2 hrs. 9 min.,18,"May 21, 1980",Fox,Action,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",['Irvin Kershner'],['George Lucas (Executive)'],1,60,1278,,88,78,96,97,"$18,995,694"
9 to 5,103290500,1 hrs. 50 min.,N/A,"December 19, 1980",Fox,Comedy,"['', 'IMDb', 'Movies']",Colin Higgins,,2,558,,,66,,82,73,
Stir Crazy,101300000,1 hrs. 51 min.,N/A,"December 12, 1980",Columbia,Comedy,"['Gene Wilder', 'Richard Pryor', 'Georg Stanford Brown']",['Sidney Poitier'],,3,584,,,68,5,None,None,
Airplane!,83453539,1 hrs. 28 min.,3.5,"June 27, 1980",Paramount,Comedy,"['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen']","['Jim Abrahams', 'David Zucker', 'Jerry Zucker']",['Jim Abrahams (executive producer)Hunt Lowry* (Associate)David Zucker (executive producer)Jerry Zucker (executive producer)'],4,756,,,78,,96,89,
Any Which Way You Can,70687344,1 hrs. 56 min.,N/A,"December 17, 1980",Warner Bros.,Action,"['Clint Eastwood', 'Sondra Locke', 'Geoffrey Lewis']",Buddy Van Horn,,5,957,,,60,,20,45,
Private Benjamin,69847348,1 hrs. 50 min.,N/A,"October 10, 1980",Warner Bros.,Comedy,"['Goldie Hawn', 'Eileen Brennan', 'Armand Assante']",Howard Zieff,"['Nancy Meyers', 'Charles Shyer']",6,980,,,60,,None,None,
Coal Miner's Daughter,67182787,2 hrs. 5 min.,N/A,"March 7, 1980",Universal,Biography,"['Sissy Spacek', 'Tommy Lee Jones', 'Levon Helm']",['Michael Apted'],,7,"1,015",,,75,,,,
Smokey and the Bandit II,66132626,1 hrs. 41 min.,N/A,"August 15, 1980",Universal,Action,"['', 'IMDb', 'Movies']",Hal Needham,,8,"1,042",,,50,,20,46,
The Blue Lagoon,58853106,1 hrs. 45 min.,N/A,"June 20, 1980",Columbia,Adventure,"['Brooke Shields', 'Christopher Atkins', 'Leo McKern']",Randal Kleiser,,9,"1,201",,,57,,11,54,
The Blues Brothers,57229890,2 hrs. 30 min.,N/A,"June 20, 1980",Universal,Action,"['John Belushi', 'Dan Aykroyd', 'Cab Calloway']",['John Landis'],['Robert K. Weiss'],10,"1,246",,,80,,87,93,
